#Correlation function Gawiser et al 2007
# Column 1: theta
# Column 2: Correlation(theta) 
# Column 3: std(correlation)
80.00	0.2940	 0.09473
180.0	0.07212	 0.05263
280.0	0.01859  0.05263
380.0	0.1230	 0.05263
480.0	-0.03578 0.04210
580.0	-0.05769 0.05263
680.0	0.004575 0.03157
780.0	0.003682 0.05263
880.0	-0.007699 0.06315
980.0	-0.008592 0.05263
1080	-0.04102 0.04210
1180	-0.1261 0.06315
1280	-0.1059 0.06315
