#OK
#SQL= select x,y,z, np, log10(mass) from Bolshoi..FOF where snapnum=117  and  x between 0.0 and 46.0 and y between 0.0 and 35.0 and z between 123.0 and 164.0 order by mass desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-01-04 16:05:23.184 CET
#QUERYTIME 2672 millisec
#COLUMN 1 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 5 name= JDBC_TYPE=8 JDBC_TYPENAME=float
x,y,z,np,
25.364838,30.688951,149.67203,88445,13.083470353712999
21.514566,29.459482,149.37572,46943,12.808368995612925
6.082315,33.983685,143.40504,46308,12.802454231196432
24.23772,32.388412,149.65588,37486,12.710667281259711
8.537923,32.235134,143.99036,35037,12.681325360893641
23.855473,29.820486,149.1511,33050,12.655969693106375
6.536352,30.030338,139.23436,31888,12.640425784788617
25.50024,27.269007,149.81003,31403,12.633769326452484
27.349876,30.24094,153.9763,24608,12.527874696121472
26.689966,30.524982,152.91756,22909,12.496803765983703
19.122633,6.480021,132.1498,20880,12.456528487295085
34.094765,3.022176,132.71405,20401,12.446450161999483
22.63544,30.383968,145.78833,19438,12.425449445453937
25.83794,30.635857,151.65523,15187,12.318270000762096
26.417183,29.093973,147.70583,14513,12.29855616664856
18.407001,32.27941,147.3567,13963,12.281776271514316
16.036749,30.54831,147.75574,12936,12.248598485709202
33.34174,10.78457,125.54381,12019,12.21666723461133
30.59492,29.751242,162.7473,11668,12.203794140422538
25.631542,29.885075,148.50722,11252,12.188028023307549
3.673012,29.088825,136.78354,11000,12.178191036540316
22.22284,28.469597,150.5311,10589,12.16165244702059
0.824683,26.79009,127.726295,10073,12.139957763988019
22.07376,29.052029,161.993,10022,12.137752756368052
30.043081,30.470718,123.14999,9759,12.126202865364272
23.83428,34.84018,147.63417,9733,12.125045112469337
26.644917,30.50778,139.2955,9608,12.11943076931541
18.827179,22.895876,157.08366,9422,12.110939719479273
20.259333,31.627224,148.7406,9408,12.110296698779544
21.530275,29.578043,147.29514,9128,12.097174006391981
19.614496,27.24395,158.67029,8827,12.082613041158393
20.176846,27.26316,161.2323,8495,12.065960451045973
21.696482,28.715591,150.41765,8408,12.061490154911976
19.84138,6.284525,132.52852,8208,12.051036693658427
25.871233,25.733541,152.1326,8060,12.043134267431485
7.274767,32.39002,143.27507,7884,12.033544380722136
21.553982,29.53556,142.02461,7681,12.022217980868419
33.30075,10.23613,125.68722,7585,12.016753456796756
27.198454,2.229137,136.17776,7470,12.010117556351696
34.58583,10.468678,129.0081,7394,12.005678043002314
31.732082,20.089727,128.11629,7386,12.00520625877739
12.970969,19.793407,161.76968,7295,11.999823640803811
24.719013,26.4709,152.25647,7102,11.988178892712341
25.511425,26.734507,153.07817,6938,11.978032543648915
23.120497,28.040617,150.87381,6907,11.976087573917978
43.788143,33.955624,128.66522,6704,11.963132122497825
23.468424,26.261957,155.52043,6645,11.95929331526284
1.465479,21.729528,145.19717,6590,11.95568341565011
44.166435,32.995464,129.03812,6524,11.951312258203975
15.7911,30.090866,154.93344,6376,11.941346438053635
24.293386,12.313469,133.58784,6361,11.940323701972858
26.463907,30.739115,145.36755,6239,11.931913293895192
33.22969,21.74036,124.644455,6226,11.931007083260571
15.936754,27.53674,153.07768,6107,11.922625831695646
26.046877,29.711042,155.96936,6015,11.916033648059456
34.032578,3.944776,124.57207,5982,11.913644330936563
25.695492,29.041685,149.57352,5930,11.909852754908243
24.092402,21.825178,157.43498,5776,11.89842511596458
21.234575,30.479053,143.806,5646,11.888538932066771
9.210628,32.599197,144.07907,5614,11.88607033588362
19.056143,32.309734,145.00475,5611,11.885838214039897
5.194032,24.710526,147.01393,5611,11.885838214039897
6.770694,33.243404,143.18336,5487,11.876132924355797
25.425213,24.89435,151.53107,5478,11.875420122520184
17.264458,29.102167,138.08272,5426,11.871278037921579
31.874172,24.64301,124.11004,5404,11.869513328130996
2.052562,31.076359,143.24692,5376,11.867257640005402
5.366884,34.2047,141.27475,5313,11.862137930295223
