#OK
#SQL= select x,y,z, np, log10(mass) from Bolshoi..FOF where snapnum=117  and  x between 46.0 and 92.0 and y between 175.0 and 210.0 and z between 164.0 and 205.0 order by mass desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-01-04 16:24:42.183 CET
#QUERYTIME 354 millisec
#COLUMN 1 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 5 name= JDBC_TYPE=8 JDBC_TYPENAME=float
x,y,z,np,
46.65025,206.56128,193.9375,40363,12.742781662806111
56.924904,190.21233,201.01285,34695,12.677064666167366
54.560036,189.65099,198.92682,21678,12.47281785837267
57.423016,197.81482,187.6481,21134,12.461780580490336
68.62924,205.81947,166.25781,16054,12.34238122874269
76.8801,207.95877,198.07428,15038,12.313987359092524
61.53934,189.05803,201.866,14733,12.305088990950619
66.698975,184.03496,170.6788,14191,12.28881018210051
63.14035,190.0634,170.31221,13892,12.279562017272282
49.63154,202.36691,178.54466,13191,12.257075893105743
64.2157,189.98595,168.89998,12202,12.223228488348276
48.553402,203.07468,178.18355,12094,12.219367071689188
50.822586,199.98198,178.72055,11936,12.213655847311014
50.379425,204.11047,178.62975,11918,12.213002140217524
49.53603,184.28925,168.60904,10344,12.151486291474484
54.87389,178.91032,193.68825,10010,12.137233803797644
87.00532,186.7605,176.4331,9661,12.12181908805379
62.325016,188.03383,198.6315,9365,12.108304506684085
75.88639,206.38875,198.48135,9066,12.094212517454832
67.21976,196.89465,203.87592,8726,12.077614943339752
46.58535,190.44228,185.10464,8699,12.07626898316676
48.33591,185.3922,166.82184,8460,12.064169610719965
89.60736,193.67192,186.47192,8070,12.043672648961858
85.966324,199.34006,181.32333,8055,12.042862866368552
75.386566,204.78261,204.6509,8025,12.04124263984049
55.977432,197.76964,190.60287,7855,12.031945433899969
50.283657,201.96802,178.76056,7831,12.030615911165192
49.749817,200.37689,178.0938,7797,12.028725747901694
69.23776,207.71457,165.63164,7557,12.01514589578596
54.13938,189.49416,197.16177,7552,12.014860630400818
69.8355,185.72003,204.91185,7314,12.000954387091054
56.241188,189.93004,199.902,7281,11.998989078908753
46.436947,193.37442,199.38829,7154,11.991347042891947
73.29911,192.55937,197.67607,7100,11.988056592653676
57.592384,207.21216,175.15164,6837,11.971663573842674
77.08238,187.87427,195.5614,6820,11.97058255304501
63.112392,199.52278,191.4526,6756,11.966487634005189
91.22548,192.76988,187.21498,6601,11.956408076942022
50.34672,190.6578,197.8373,6485,11.9487082639861
47.859627,182.99695,202.53687,6399,11.942910433558518
51.707912,192.24832,201.35378,6178,11.927645961030315
53.454014,209.70206,172.98724,6162,11.926519927480014
49.486565,180.81764,204.35503,5754,11.896768084374893
52.56882,200.74712,180.45523,5379,11.867499905472334
86.594986,185.78336,176.92651,5303,11.861319908914854
52.602066,206.21237,178.03522,5269,11.858526368377511
48.740093,200.31644,191.54024,5197,11.852550750429613
84.89604,195.88666,176.20984,5053,11.840347664411395
60.597195,189.32834,201.67291,5002,11.835941566026943
82.5308,189.83228,173.18149,4995,11.835333486960808
68.24278,177.69173,173.09822,4944,11.83087658958505
53.93062,200.06181,194.05255,4941,11.830613043712278
47.560417,197.06213,193.90349,4928,11.829469089653443
67.91556,194.3908,200.01343,4920,11.828762971018259
46.27917,187.75772,195.04366,4876,11.824861622862173
47.365944,205.59947,193.6362,4845,11.822092205534071
56.858242,197.82158,186.9901,4753,11.813765725314719
65.609,190.4973,203.81952,4714,11.810187455305593
49.13801,193.33168,180.54076,4571,11.796809469006474
89.32526,197.45297,188.517,4451,11.785255765725767
56.101746,209.72426,174.75996,4136,11.753378486529849
80.91917,206.6097,204.77777,4133,11.753063436103362
83.58745,188.99168,171.01924,4107,11.75032321424777
49.176655,200.31409,191.63176,4098,11.749369880729455
50.527378,199.36504,177.66006,4072,11.746606180031163
80.84103,208.08992,192.19102,4049,11.74414583160791
63.760254,205.5913,190.482,4040,11.743179597024378
50.46135,184.35945,196.02107,3965,11.735041297722079
87.48187,204.29756,199.89186,3946,11.732955567035306
58.75146,207.0285,174.64243,3922,11.730305752422096
56.40601,190.90254,201.73087,3911,11.729086197008348
