#OK
#SQL= select x,y,z, np, log10(mass) from Bolshoi..FOF where snapnum=117  and  x between 138.0 and 184.0 and y between 70.0 and 105.0 and z between 0.0 and 41.0 order by mass desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-01-04 16:40:38.453 CET
#QUERYTIME 301 millisec
#COLUMN 1 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 5 name= JDBC_TYPE=8 JDBC_TYPENAME=float
x,y,z,np,
147.87206,89.69578,10.263256,36362,12.697445545078036
160.14108,89.93488,37.927795,23596,12.509636612481838
149.23251,93.63573,23.34154,20601,12.450686261631892
164.42589,92.11119,39.493523,14787,12.306678035129414
176.44507,104.501915,34.488945,14193,12.288872707149537
144.01225,72.08655,14.99359,13140,12.255393130338492
164.27438,76.39257,32.391476,12499,12.233673686087817
156.85358,92.73157,35.960148,12059,12.218109931963445
161.16968,93.24641,3.947422,12013,12.216450946881436
149.18774,92.05055,0.127271,11624,12.202153076849
160.48088,89.795006,37.181454,11256,12.18818295052383
147.45305,80.92687,10.211994,10768,12.16893332539512
173.94295,80.006454,37.44834,10615,12.16271672554344
180.98524,86.144264,36.103146,10548,12.159967025169397
162.73424,91.543465,17.96307,10316,12.15030808863402
161.1979,89.76917,36.94455,10306,12.149886978116596
142.4638,93.80328,16.382486,9761,12.126293782796413
183.42561,93.45361,8.589856,9729,12.124865980059774
161.10344,94.252464,2.046912,9631,12.120468618755917
160.10019,94.57428,29.416182,9575,12.117937148715082
146.61118,89.55721,16.527987,9265,12.10364295732582
174.5062,96.91064,1.478927,8523,12.067390798566795
157.1093,91.109,39.04196,8363,12.059161860768299
168.04753,76.38212,19.841125,8262,12.053884813080353
160.28046,94.35147,30.02791,8028,12.041404536314928
155.99727,75.00158,37.92362,7480,12.010698435263906
159.68791,93.07313,22.610851,7225,11.995636080887277
140.54395,74.06517,16.806717,6885,11.974702309989938
157.79332,92.633896,36.059586,6867,11.973565168235822
139.13792,72.566765,19.47129,6802,11.96943501665615
159.16928,70.582596,7.438413,6781,11.968091900734906
158.76372,86.9838,5.934932,6644,11.959227948399972
149.30359,94.69304,24.288008,6626,11.958049502605443
163.60063,78.67479,32.587883,6574,11.954627897638602
181.81683,101.95978,26.593256,6501,11.949778249863034
158.7091,92.69171,31.035896,6399,11.942910433558518
145.57884,89.316086,10.145177,6265,11.933719067405823
166.5873,86.33109,17.957659,6225,11.930937316899035
161.76265,91.13266,37.62064,6225,11.930937316899035
142.84467,89.05418,3.979157,6200,11.929189974484936
168.73036,88.52054,8.7956,6186,11.92820785127905
143.80545,86.311584,6.918918,5965,11.91240858092696
159.3814,70.57388,3.392523,5913,11.908606188603981
141.75105,71.309494,16.957119,5749,11.896390612775981
143.38821,81.9669,28.199371,5598,11.884831052660392
155.86624,72.51638,37.514008,5571,11.882731106168135
138.6123,90.529,11.579088,5562,11.882029060682736
162.59029,91.0003,36.359406,5402,11.869352592763855
142.38196,93.620224,17.896418,5360,11.86596283091285
177.6433,94.62892,0.837629,5261,11.857866575098484
181.69334,94.590546,37.149216,5232,11.855465850486295
157.31465,97.11505,0.618286,5171,11.850372953081342
144.36147,84.509514,31.784758,5157,11.849195127982716
140.72676,98.693474,18.946955,5096,11.84402771904025
162.00124,91.893845,13.814265,5091,11.843601484123353
181.98526,102.68091,27.146181,5085,11.843089424910207
176.40479,82.374466,38.468403,5007,11.836376045368961
157.69899,99.278694,0.364674,4903,11.827260059987522
181.96494,97.926865,40.853344,4805,11.81849177965949
181.56932,85.38085,34.1137,4772,11.815498707207507
157.77759,99.93666,0.204911,4761,11.814496632987371
162.55627,88.07255,4.848397,4479,11.787979457647028
140.28162,72.62784,7.072823,4472,11.787299623478754
162.95253,97.81667,9.077767,4465,11.786619421254457
141.0753,94.28924,17.691898,4456,11.785743300543176
138.36298,99.17388,29.002174,4437,11.783887861733875
150.1325,95.67169,24.975958,4339,11.774187663599928
139.17401,72.63079,15.168666,4319,11.772181580061995
147.75499,87.55845,7.296877,4295,11.769761248591125
166.30396,91.27214,24.174393,4248,11.764982680439447
149.044,73.1939,34.4091,4244,11.764573611746625
159.04059,90.39952,38.417282,4227,11.76283004581587
159.52763,73.09722,7.809947,4222,11.762316131721187
163.56355,91.08426,36.255577,4214,11.76149256272583
140.41283,95.64128,37.09046,4202,11.76025432293099
175.49919,81.277824,38.035973,4184,11.758389499308612
144.11023,98.082596,19.855179,4159,11.755787225771972
176.60461,71.62595,17.619053,4155,11.755369399180633
143.13544,99.52328,18.223051,4114,11.751062657118997
180.53133,93.94466,37.710735,4058,11.745109921247922
177.42917,103.16825,36.060673,4053,11.744574591522696
160.16278,88.84192,38.02448,3989,11.737662488303933
161.72595,94.78351,2.649795,3974,11.736025788711064
166.57121,88.29318,17.24107,3963,11.734822212719191
154.97789,96.75952,40.201088,3958,11.734274042438235
142.17075,81.09505,28.239525,3761,11.712101427470138
142.19319,71.60968,18.405167,3718,11.707107539495157
175.29425,96.31344,35.075836,3688,11.703588831459353
170.48657,96.19331,37.848625,3688,11.703588831459353
149.92105,83.142075,13.175253,3682,11.702881841954254
138.98007,72.982315,11.718813,3675,11.702055530634947
143.48334,70.12838,16.657196,3644,11.698376365153294
183.94447,80.992836,37.885532,3610,11.694305032616136
166.41325,85.82881,17.677626,3596,11.692617806312736
158.92392,87.69894,3.41549,3592,11.692134555901237
156.50899,92.111565,34.83564,3580,11.690681511895493
141.16425,95.34003,5.1013,3567,11.68910099942633
151.72821,75.863464,31.613726,3545,11.686414608852102
163.33128,91.32102,37.18615,3532,11.684818433345736
149.27489,89.50512,11.048387,3503,11.681238524590063
142.53539,77.972855,16.311409,3455,11.675246606024059
174.76361,94.47469,31.77487,3405,11.668914937073797
141.95833,74.10731,17.21394,3377,11.665329535157415
160.32501,91.42797,3.621451,3324,11.65845883001848
170.82468,72.215866,19.977077,3277,11.652274403358776
156.84224,96.18078,1.899076,3269,11.651213048611593
160.72655,83.804,1.246976,3234,11.646538012669476
160.5219,89.32713,36.840324,3210,11.64330360179549
179.33664,101.99308,23.588482,3188,11.640316442389654
157.62572,96.48778,32.40536,3181,11.63936194845943
173.1647,94.62651,38.069485,3154,11.635659629927876
160.15775,91.17396,21.579477,3151,11.635246441651509
146.05661,73.011,15.367725,3138,11.633451292245715
149.1234,89.4336,9.938498,3094,11.627318726561631
150.81862,93.12796,29.894861,3041,11.619814115342791
181.39024,85.22037,37.148735,2983,11.611451392288696
158.68341,91.51372,38.616615,2917,11.601734149094575
152.35709,102.156876,32.922512,2916,11.601585262805406
151.59923,83.65323,21.992867,2881,11.596341931258358
141.75087,75.391815,17.306377,2875,11.595435581370145
172.08273,98.69178,37.6874,2868,11.594377080605609
165.9366,104.58058,35.290024,2853,11.592100098272063
147.55609,80.00385,9.955415,2849,11.591490908087515
162.03763,90.75821,30.203829,2846,11.591033426645797
138.16866,72.296196,19.940723,2840,11.59011705206952
162.7132,90.43104,28.929104,2818,11.586739167594184
140.08228,74.10552,17.308779,2815,11.586276650552762
168.03732,85.374344,11.238815,2812,11.58581367734602
161.66367,94.23278,3.290893,2786,11.581779028982382
158.3682,90.70658,38.617973,2778,11.580530390956106
165.84334,84.85502,17.70749,2762,11.578022293160219
154.8627,70.35759,14.516397,2752,11.576446165268365
139.4721,80.47253,31.213192,2741,11.574707080534463
147.8157,79.67707,9.693129,2738,11.574231563231026
182.19435,80.73437,14.688442,2736,11.573914300156664
140.56279,72.48444,18.091429,2728,11.572642772797552
158.63074,74.47085,7.047064,2722,11.57168671638377
143.56897,94.418205,1.080197,2696,11.567518065235085
147.66342,91.94914,1.768661,2695,11.56735697215227
174.0917,79.281586,38.093094,2686,11.565904477793879
144.98077,88.87168,16.182852,2685,11.565742784957305
159.26404,97.25346,0.11643,2684,11.565581031898201
151.36139,95.62026,23.186943,2683,11.565419218571694
151.11697,91.864586,21.363949,2679,11.564771361692346
139.38338,72.823204,12.360026,2642,11.558731359866885
147.88307,90.70608,17.9688,2629,11.556588325486086
164.51491,72.47783,30.335197,2619,11.554933535694584
