#OK
#SQL= select x,y,z, np, log10(mass) from Bolshoi..FOF where snapnum=117  and  x between 184.0 and 230.0 and y between 105.0 and 140.0 and z between 41.0 and 82.0 order by mass desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-01-04 16:52:59.097 CET
#QUERYTIME 286 millisec
#COLUMN 1 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 5 name= JDBC_TYPE=8 JDBC_TYPENAME=float
x,y,z,np,
221.07849,133.5439,68.64802,56067,12.885505388353275
199.9691,129.69402,77.28334,47274,12.811420822381974
224.52277,132.47813,68.55749,37036,12.705422348236219
225.7573,130.20525,65.80286,35513,12.687185513088028
215.23473,125.58592,59.592087,34376,12.67305319610502
215.78085,131.08905,77.6048,33087,12.6564556669662
216.3014,132.7979,77.308914,32561,12.649495497074517
220.82922,108.24914,73.17879,30289,12.618082643247652
215.48729,128.4204,65.21316,27455,12.575419937761362
229.84932,108.78648,49.84402,27395,12.57446995941958
211.07237,135.34267,74.98534,24759,12.530531384457111
205.03731,129.09598,80.840126,20338,12.445105787979072
201.30486,127.515755,81.90917,18291,12.399034791284123
222.63141,134.08266,68.51274,17587,12.381990001245244
187.17894,128.32808,76.74355,16282,12.348505408084366
198.0516,109.307686,68.299706,14733,12.305088990950619
213.66875,135.80688,71.36428,14703,12.30420391158243
222.11519,137.14568,53.24246,14173,12.28826041733344
214.22583,126.5002,58.66938,13628,12.271230363223207
228.58669,128.26767,65.38376,13107,12.254301496372435
213.13315,135.39095,74.950424,12847,12.245599035502423
187.58998,128.09367,76.04249,12707,12.240841179800151
215.8704,133.82693,63.36171,11459,12.195943905215932
206.30125,110.117836,74.31588,10954,12.17637200031326
202.25186,114.23199,45.27147,10475,12.15695176803495
214.53694,131.76178,78.82177,10256,12.147775238258353
225.42778,108.77037,65.67622,9898,12.132346158807938
202.38257,139.61229,67.38791,9819,12.128864352984865
210.35683,136.44635,68.01596,9582,12.118254797055489
222.99495,112.037506,56.89383,9456,12.112504437058135
221.14877,119.0202,68.30687,9378,12.108909906528805
217.71175,117.79925,61.320377,9221,12.1015752466959
227.87947,126.3727,73.63417,9220,12.101530552306336
192.26248,116.04535,67.762794,8951,12.088671108002055
197.31277,109.19828,68.07985,8855,12.083986101298407
206.1858,131.7745,76.87279,8742,12.078409696596124
219.04492,134.39946,70.71894,8601,12.071348015832502
187.40266,126.68125,79.56088,8386,12.060354047087307
219.28192,112.63678,68.01264,8306,12.056191881183723
199.934,128.132,81.15417,8149,12.047901501333763
219.9486,112.4557,46.633045,7995,12.039616346075848
228.46448,130.42209,72.36016,7926,12.035853806987811
213.1824,135.34358,74.368126,7860,12.032219724938203
223.98357,120.00227,67.645164,7811,12.029505527192484
223.32562,129.56056,63.058582,7792,12.028445161961608
227.50975,127.6908,73.52049,7556,12.015091386773426
225.549,136.85114,68.84662,7510,12.012436480181458
223.78943,130.33626,64.94849,7167,11.99213537371577
201.5127,117.60353,79.4903,7142,11.990618067188185
224.59329,112.12999,53.16114,7112,11.988789876931481
223.38141,132.76193,65.83468,7073,11.98640176565815
209.78783,134.76292,61.550323,7023,11.983320875622164
215.18753,118.78482,58.599598,6872,11.97388120706612
224.73834,130.16203,64.95116,6813,11.970136652510787
215.90569,116.62484,58.77936,6607,11.956802589031456
201.01152,121.64934,76.31192,6501,11.949778249863034
208.87314,138.9087,65.32269,6463,11.947232221612746
206.62532,138.62074,79.10239,6453,11.946559836109229
220.60696,134.70183,70.65521,6386,11.942026904825381
227.9678,129.72124,72.20592,6379,11.941550683544747
225.26956,138.5136,63.455944,6275,11.934412077472668
197.17775,118.601105,48.475376,6235,11.931634809832651
188.87376,118.254486,43.7242,6181,11.927856750874337
229.62596,110.068665,45.00367,6140,11.924966375123356
192.15343,122.09292,41.969257,6079,11.920630401559386
216.21979,128.92995,75.38046,6063,11.919485526625483
225.64651,130.67659,66.05412,5740,11.895710321549464
209.42517,109.533226,70.16903,5673,11.890611012714261
224.9864,131.18831,69.51685,5651,11.888923287052744
203.21002,139.12941,56.418728,5636,11.887769163258165
190.08543,120.927,43.484653,5476,11.875261558895007
224.45468,137.24118,80.8091,5411,11.870075414706202
214.96281,134.10635,78.08557,5411,11.870075414706202
208.03314,127.63009,58.384853,5327,11.863280632440842
219.25548,112.80432,46.466198,5238,11.855963531358565
207.79732,136.26413,60.445324,5236,11.855797701095145
214.42659,132.28307,78.93237,5183,11.851379425923184
205.58897,139.6455,52.398968,5171,11.850372953081342
193.67854,130.28262,72.98866,5077,11.84240516599416
205.54823,139.56464,75.74601,5075,11.842234075931366
206.2633,139.40756,73.89496,5065,11.841377613142145
214.57306,117.673225,53.47235,5029,11.838279749298978
215.46191,119.78207,58.386265,4993,11.835159587646618
