#OK
#SQL= select x,y,z, np, log10(mass) from Bolshoi..FOF where snapnum=117  and  x between 138.0 and 184.0 and y between 35.0 and 70.0 and z between 82.0 and 123.0 order by mass desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-01-04 16:39:38.918 CET
#QUERYTIME 268 millisec
#COLUMN 1 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 5 name= JDBC_TYPE=8 JDBC_TYPENAME=float
x,y,z,np,
172.08801,64.74718,107.209854,58868,12.906677608544822
172.64745,64.20522,108.33347,49170,12.828498122108027
174.3214,50.266853,109.497696,44987,12.789885163597269
181.78413,61.091667,100.3384,41821,12.758192503342974
179.94087,57.883053,120.08922,30309,12.618370299118656
139.519,61.992367,113.65927,27815,12.581077684557131
178.9464,55.02988,112.1441,20835,12.455590891681775
177.89728,44.340523,105.579124,19749,12.432343829900256
151.55498,55.356533,98.98925,19671,12.430624828651837
177.60545,58.53254,101.488014,18340,12.400197688111264
181.34282,56.96144,110.279434,15507,12.327326242021128
180.25894,66.119026,82.93762,14193,12.288872707149537
168.96495,45.508606,110.38703,13817,12.277212559781058
172.72878,60.420055,87.076004,13790,12.276362984456755
175.18323,64.97663,84.05865,12781,12.243363029570489
175.26866,53.9911,106.65194,12227,12.224118524776522
158.59863,52.01417,120.49637,12200,12.223158347980407
166.8869,69.395485,104.198296,11480,12.196739774406431
172.37714,60.123142,104.18501,11279,12.189069000263263
148.70589,44.039604,92.8546,11051,12.18020045177095
159.86894,60.232056,118.51443,10976,12.177242069082302
147.09624,51.302303,100.3566,10688,12.16569531164299
174.31352,62.88414,85.01766,10533,12.159350611683807
172.67126,54.281963,89.82973,10488,12.157490004470246
180.5452,56.68509,109.80487,10420,12.15466739708948
167.80177,63.95796,106.30122,10295,12.149425431191862
173.11583,66.65674,108.617004,10267,12.148241616486827
145.43991,66.68018,115.147705,10108,12.141462332395676
172.97592,56.43384,89.31557,9939,12.134142026042886
181.03949,60.168755,99.40937,9645,12.121100038052292
176.43465,52.845383,104.9019,9481,12.113652597872802
165.20416,38.191788,118.81114,8996,12.090846837734734
174.04276,52.19657,88.411545,8698,12.076217977079455
140.72916,64.39232,121.081474,8511,12.06678046112002
176.53006,55.986866,107.6568,8187,12.049923159489976
160.8575,60.17888,119.0078,7996,12.039671836928552
142.97285,68.387535,116.6575,7866,12.032550277612206
163.64978,60.378567,119.96993,7778,12.027667560656484
155.58571,57.401936,120.17162,7740,12.025539340462817
145.0884,65.979355,116.55973,7679,12.022102413044317
143.32764,62.06606,115.8866,7612,12.018296806600642
150.5327,50.73471,97.20014,7388,12.005326410720487
181.7958,60.14456,101.33566,7271,11.998392314508228
175.6836,64.89046,84.73003,7180,11.992922710098158
173.01492,36.282032,106.54405,7175,11.992620233233596
169.30562,44.35095,108.07519,6995,11.981585782900632
180.5025,59.027843,102.413124,6796,11.969051361077414
167.91893,62.19938,105.0953,6780,11.968027875579768
174.2215,53.589584,108.60177,6583,11.955221944118668
175.34764,51.37703,107.48951,6554,11.953304399022757
167.5345,62.853252,113.30425,6470,11.947702256781927
147.43224,49.03559,97.20002,6463,11.947232221612746
141.40724,69.945305,117.13655,6409,11.943588488536406
178.73131,56.465134,113.39163,6238,11.931843672969915
173.19794,36.149853,104.41853,6150,11.925673515977216
157.967,52.83119,120.881256,5921,11.909193243456999
172.50606,60.314575,107.445564,5848,11.903805454843251
182.34738,53.70324,87.10825,5843,11.903434017603887
148.6812,56.527092,103.20447,5808,11.90082466609993
173.29605,56.565895,105.083046,5748,11.896315093524919
182.90077,36.101765,122.249306,5739,11.89563468389989
177.15207,59.957695,98.67432,5735,11.895331385783127
179.49655,37.43769,83.86628,5665,11.8899982395485
174.29979,35.08807,106.97369,5661,11.889691565127503
173.71555,40.851036,100.49282,5609,11.88568344656708
150.84853,52.96092,98.1427,5604,11.885296175219224
150.17978,69.9936,118.78072,5596,11.884675888671227
176.98401,39.790043,91.37411,5575,11.883042770754521
181.43178,60.503574,99.65166,5510,11.87794982637994
182.21115,54.171967,104.49323,5472,11.874944295820645
159.24171,53.154346,88.79434,5270,11.85860875239506
174.50961,56.116474,90.81936,5224,11.854801387583084
183.7254,49.444477,95.39536,5206,11.853302060002084
150.391,67.385216,122.56639,5201,11.852884835141026
170.92316,57.582275,100.535065,5174,11.850624780010765
176.54773,65.19212,82.96106,5173,11.850540867309142
174.36894,40.609013,91.21965,5060,11.840948768059368
176.67648,59.473995,98.40533,5036,11.838883719963349
178.97157,58.451084,101.124214,4965,11.832717699256497
170.07317,59.631584,106.4231,4948,11.831227763473764
157.33916,38.076553,105.37875,4943,11.830788772736813
156.82523,53.394882,120.52487,4936,11.830173430853495
173.33044,51.45245,87.890175,4921,11.828851240620214
139.71478,62.755505,115.27352,4879,11.825128681041523
172.87187,53.200516,90.85908,4789,11.817042845595228
144.10486,67.655235,116.48415,4639,11.803222830360959
173.50298,68.680466,110.67424,4591,11.798705198398228
138.95857,62.927135,114.35829,4581,11.797758345406146
144.56477,58.783237,116.70303,4550,11.794809296919727
181.97324,40.882805,96.14043,4509,11.79087813010194
180.73488,63.21782,92.45098,4492,11.789237922045439
150.29863,68.595146,119.16474,4481,11.788173308636772
178.06024,61.984074,98.57243,4470,11.787105382032461
180.87378,57.943695,108.90816,4433,11.783496225968022
173.4595,57.220596,89.75212,4419,11.782122054822967
169.18437,67.97784,115.69163,4404,11.780645618564542
142.48549,62.98011,116.02899,4393,11.779559705944271
138.06993,62.796257,108.49905,4392,11.779460826046712
139.74672,61.423058,118.98644,4355,11.775786591071064
176.21182,44.07172,106.60381,4280,11.76824211192434
170.268,52.964508,89.49263,4279,11.768140621070263
171.5307,42.26503,100.795906,4241,11.764266581658715
167.83192,36.246273,121.92916,4232,11.763344137807634
166.05043,37.776455,118.52086,4232,11.763344137807634
157.37767,51.08845,117.131615,4227,11.76283004581587
139.49408,62.192997,117.22131,4182,11.75818188431539
147.12132,49.127563,95.14371,4174,11.757350480174683
178.74495,55.30611,88.94886,4166,11.75651743149886
179.9951,57.278183,109.26561,4131,11.752853258682771
169.37117,66.364044,105.23392,4115,11.751168217958675
182.90213,62.16865,113.11459,4113,11.750957121116999
138.92255,61.837833,113.0313,4106,11.75021668897472
174.06033,49.7101,109.619446,4097,11.749263881821163
150.93385,57.36215,101.352196,4020,11.741023900541254
139.47464,69.74841,118.06342,3924,11.730527100644421
139.54443,62.64465,114.94996,3910,11.728975155913254
138.23283,55.5673,122.20128,3906,11.728530707403307
175.49251,39.262775,90.47931,3876,11.725182015679675
170.55106,53.61947,89.51654,3831,11.720110494818238
173.01358,43.573105,102.5174,3831,11.720110494818238
140.14037,68.979324,117.3016,3825,11.71942991651218
174.85847,42.237858,91.14056,3766,11.71267831946521
167.32211,40.343525,110.33274,3752,11.711061114515127
173.26721,36.639587,106.07498,3743,11.71001830360016
172.76129,55.406555,89.54698,3696,11.704529706748273
138.56955,69.851555,117.45476,3643,11.698257186729723
171.015,36.651154,107.0012,3628,11.69646560326719
173.18176,53.99348,88.97988,3607,11.69394402935508
174.99875,58.012383,110.2478,3581,11.690802787169034
181.21326,69.46128,105.5522,3576,11.690196071860232
146.4691,64.36398,116.5483,3536,11.685310799416415
173.17937,68.54261,110.22907,3528,11.684326421016706
174.27823,39.469635,89.3008,3524,11.683833821183152
139.2416,63.496983,113.60119,3508,11.681857845041044
182.34752,36.52291,122.284355,3504,11.681362465282284
138.60085,61.300995,113.60606,3472,11.677377875857598
140.1176,36.086678,82.69698,3462,11.676125449458658
180.10535,42.436707,102.07984,3452,11.674869400841143
155.29335,57.016106,117.40522,3447,11.674239092685426
158.36226,52.702934,90.11424,3434,11.672598386641749
144.18938,59.873558,116.6538,3416,11.670316376890378
164.37624,67.47244,121.277916,3410,11.669552100531504
162.78514,47.38751,118.73886,3367,11.664040868591794
159.23482,60.228146,117.97141,3354,11.66236113459168
178.71906,56.447628,99.85578,3337,11.660154660357563
174.05563,38.27048,89.158,3335,11.659894332942331
167.75334,64.1786,113.76713,3320,11.657935980185277
173.2936,55.402115,90.15453,3297,11.65491737952152
177.49973,51.661163,85.088844,3283,11.653068689060841
174.49858,59.657276,82.768814,3258,11.649749469538078
150.35762,49.63508,88.45369,3254,11.64921605401883
139.42152,62.423767,114.54254,3197,11.641540541960502
168.97331,61.919033,106.464134,3174,11.638405384838746
178.3103,60.108894,82.9523,3149,11.634970742258322
173.55438,69.247665,111.0825,3135,11.633035963467863
147.455,51.799576,100.726715,3106,11.628999571240817
151.48749,57.337875,82.58145,3094,11.627318726561631
174.00128,42.05818,105.99909,3081,11.625489426182547
