10.100 10.200 0.100 18.036 1.787
10.300 10.500 0.100 18.791 1.927
10.400 10.700 0.100 21.432 2.064
10.500 10.600 0.300 22.116 1.902
10.500 10.900 0.100 21.869 1.914
10.500 11.000 0.100 21.991 2.055
10.600 10.700 0.400 21.587 1.999
10.600 11.200 0.100 23.788 2.056
10.600 11.400 0.100 24.412 1.982
10.600 11.700 0.100 24.721 1.964
10.700 11.000 0.200 25.185 1.921
10.800 10.900 0.600 26.585 2.080
10.800 11.000 0.400 26.134 2.195
10.800 11.200 0.200 25.885 2.155
10.800 11.300 0.200 23.052 2.068
10.900 11.000 0.800 24.078 2.151
10.900 11.000 0.900 25.167 2.075
10.900 11.100 0.500 24.180 1.870
11.000 11.100 1.000 25.556 2.153
11.100 11.300 0.800 26.898 2.067
11.200 11.600 0.600 26.757 2.054
11.200 12.200 0.500 24.927 2.113
11.300 11.700 0.900 23.246 2.008
